Invoice ID,Customer type,Date,Time,Branch,City,Payment,Gender,Product line,cogs,gross income,Quantity,Rating,Tax 5%,Total,Unit price
101-17-6199,Normal,13/03/2019 00:00,1899-12-30 19:44:00,A,Yangon,Credit card,Male,Food and beverages,320.53,16.0265,7,7,16.0265,336.5565,45.79
101-81-4070,Member,17/01/2019 00:00,1899-12-30 12:36:00,C,Naypyitaw,Ewallet,Female,Health and beauty,125.64,6.282,2,4.9,6.282,131.922,62.82
102-06-2002,Member,20/03/2019 00:00,1899-12-30 17:52:00,C,Naypyitaw,Cash,Male,Sports and travel,126.25,6.3125,5,6.1,6.3125,132.5625,25.25
102-77-2261,Member,05/03/2019 00:00,1899-12-30 18:02:00,C,Naypyitaw,Credit card,Male,Health and beauty,457.17,22.8585,7,4.2,22.8585,480.0285,65.31
105-10-6182,Member,27/02/2019 00:00,1899-12-30 12:22:00,A,Yangon,Ewallet,Male,Fashion accessories,42.96,2.148,2,6.6,2.148,45.108,21.48
105-31-1824,Member,01/02/2019 00:00,1899-12-30 15:10:00,A,Yangon,Credit card,Male,Sports and travel,486.64,24.332,7,8.5,24.332,510.972,69.52
106-35-6779,Member,27/03/2019 00:00,1899-12-30 11:26:00,A,Yangon,Cash,Male,Home and lifestyle,88.68,4.434,2,5.8,4.434,93.114,44.34
109-28-2512,Member,07/01/2019 00:00,1899-12-30 15:01:00,B,Mandalay,Ewallet,Female,Fashion accessories,585.66,29.283,6,9.9,29.283,614.943,97.61
109-86-4363,Member,14/02/2019 00:00,1899-12-30 11:36:00,B,Mandalay,Credit card,Female,Sports and travel,420.56,21.028,7,4.5,21.028,441.588,60.08
110-05-6330,Normal,25/03/2019 00:00,1899-12-30 20:18:00,C,Naypyitaw,Credit card,Female,Food and beverages,236.58,11.829,6,9.4,11.829,248.409,39.43
110-48-7033,Member,29/01/2019 00:00,1899-12-30 14:12:00,B,Mandalay,Cash,Male,Fashion accessories,130.48,6.524,4,9,6.524,137.004,32.62
114-35-5271,Normal,07/02/2019 00:00,1899-12-30 15:06:00,B,Mandalay,Cash,Female,Electronic accessories,463.28,23.164,8,8.1,23.164,486.444,57.91
115-38-7388,Member,30/03/2019 00:00,1899-12-30 12:51:00,C,Naypyitaw,Credit card,Female,Fashion accessories,81.44,4.072,8,9.5,4.072,85.512,10.18
115-99-4379,Member,14/03/2019 00:00,1899-12-30 19:02:00,B,Mandalay,Credit card,Female,Fashion accessories,383.11,19.1555,7,8.5,19.1555,402.2655,54.73
118-62-1812,Member,24/03/2019 00:00,1899-12-30 17:56:00,C,Naypyitaw,Cash,Female,Home and lifestyle,313.52,15.676,4,7.9,15.676,329.196,78.38
120-06-4233,Normal,12/03/2019 00:00,1899-12-30 20:36:00,C,Naypyitaw,Cash,Male,Electronic accessories,183.66,9.183,6,9.3,9.183,192.843,30.61
120-54-2248,Normal,22/01/2019 00:00,1899-12-30 18:08:00,B,Mandalay,Credit card,Female,Food and beverages,144.3,7.215,5,8,7.215,151.515,28.86
122-61-9553,Normal,14/03/2019 00:00,1899-12-30 19:33:00,C,Naypyitaw,Cash,Female,Electronic accessories,461.88,23.094,9,5.6,23.094,484.974,51.32
123-19-1176,Member,27/01/2019 00:00,1899-12-30 20:33:00,A,Yangon,Ewallet,Male,Health and beauty,465.76,23.288,8,8.4,23.288,489.048,58.22
123-35-4896,Normal,17/02/2019 00:00,1899-12-30 19:11:00,C,Naypyitaw,Ewallet,Female,Sports and travel,419.94,20.997,9,5.3,20.997,440.937,46.66
124-31-1458,Member,08/01/2019 00:00,1899-12-30 14:30:00,A,Yangon,Cash,Female,Electronic accessories,238.77,11.9385,3,6.6,11.9385,250.7085,79.59
125-45-2293,Normal,19/01/2019 00:00,1899-12-30 13:11:00,A,Yangon,Cash,Female,Fashion accessories,594.6,29.73,6,4.2,29.73,624.33,99.1
126-54-1082,Member,07/01/2019 00:00,1899-12-30 11:44:00,A,Yangon,Credit card,Female,Home and lifestyle,193.86,9.693,9,8.8,9.693,203.553,21.54
127-47-6963,Normal,09/03/2019 00:00,1899-12-30 13:53:00,A,Yangon,Credit card,Male,Health and beauty,206.84,10.342,4,9.8,10.342,217.182,51.71
129-29-8530,Member,10/03/2019 00:00,1899-12-30 19:15:00,A,Yangon,Ewallet,Male,Sports and travel,313.1,15.655,5,7,15.655,328.755,62.62
130-67-4723,Member,11/01/2019 00:00,1899-12-30 13:57:00,A,Yangon,Ewallet,Male,Food and beverages,291,14.55,6,9.4,14.55,305.55,48.5
130-98-8941,Normal,09/02/2019 00:00,1899-12-30 10:00:00,C,Naypyitaw,Cash,Male,Fashion accessories,449.82,22.491,7,5.7,22.491,472.311,64.26
131-15-8856,Member,30/03/2019 00:00,1899-12-30 19:26:00,C,Naypyitaw,Credit card,Female,Food and beverages,580.16,29.008,8,4,29.008,609.168,72.52
131-70-8179,Member,17/02/2019 00:00,1899-12-30 16:27:00,A,Yangon,Cash,Female,Health and beauty,276.27,13.8135,3,4.2,13.8135,290.0835,92.09
132-23-6451,Member,04/01/2019 00:00,1899-12-30 13:21:00,A,Yangon,Cash,Male,Health and beauty,104.85,5.2425,5,7.8,5.2425,110.0925,20.97
132-32-9879,Member,09/03/2019 00:00,1899-12-30 18:00:00,B,Mandalay,Cash,Female,Electronic accessories,375.84,18.792,4,9.5,18.792,394.632,93.96
133-14-7229,Normal,01/01/2019 00:00,1899-12-30 11:43:00,C,Naypyitaw,Cash,Male,Health and beauty,125.74,6.287,2,5,6.287,132.027,62.87
133-77-3154,Member,16/02/2019 00:00,1899-12-30 18:04:00,B,Mandalay,Credit card,Male,Fashion accessories,240.72,12.036,4,9.4,12.036,252.756,60.18
134-54-4720,Normal,30/01/2019 00:00,1899-12-30 13:58:00,B,Mandalay,Ewallet,Female,Electronic accessories,339.36,16.968,8,5.7,16.968,356.328,42.42
134-75-2619,Member,25/03/2019 00:00,1899-12-30 18:51:00,A,Yangon,Cash,Male,Electronic accessories,135.24,6.762,7,6.9,6.762,142.002,19.32
135-13-8269,Member,26/01/2019 00:00,1899-12-30 16:04:00,B,Mandalay,Cash,Female,Food and beverages,157.76,7.888,2,9.1,7.888,165.648,78.88
